No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,Karbo_Clean,Keyword_Semantik,enhanced_corpus_mccbf,corpus_rf
134,sei ayam dengan nasi merah spesial,ayam,427,kentang nasi merah nasi putih,menu sei ayam with brown rice spesial yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"sei ayam dengan nasi merah spesial menu sei ayam with brown rice spesial yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam",sei ayam dengan nasi merah spesial menu sei ayam with brown rice spesial yang sehat dan lezat
135,ayam potatoes mangkuk,ayam,380,kentang ubi nasi merah nasi putih,menu chicken potatoes bowl yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam,"ayam potatoes mangkuk menu chicken potatoes bowl yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam",ayam potatoes mangkuk menu chicken potatoes bowl yang sehat dan lezat
136,sei sapi paket,sapi,355,jagung nasi merah kentang,menu sei sapi box yang sehat dan lezat,"['jagung', 'kentang', 'nasi merah']","jagung, kentang, nasi merah",protein sapi,"sei sapi paket menu sei sapi box yang sehat dan lezat jagung, kentang, nasi merah protein sapi",sei sapi paket menu sei sapi box yang sehat dan lezat
137,panggang ayam dengan lemonilo sehat,ayam,449,jagung nasi merah kentang,menu grilled chicken with lemonilo healthy yang sehat dan lezat,"['jagung', 'kentang', 'nasi merah']","jagung, kentang, nasi merah",protein ayam panggang,"panggang ayam dengan lemonilo sehat menu grilled chicken with lemonilo healthy yang sehat dan lezat jagung, kentang, nasi merah protein ayam panggang",panggang ayam dengan lemonilo sehat menu grilled chicken with lemonilo healthy yang sehat dan lezat
138,dengan nasi merah dengan potate wedges sehat,ayam,419,jagung nasi merah kentang,menu with brown rice with potate wedges healthy yang sehat dan lezat,"['jagung', 'kentang', 'nasi merah']","jagung, kentang, nasi merah",,"dengan nasi merah dengan potate wedges sehat menu with brown rice with potate wedges healthy yang sehat dan lezat jagung, kentang, nasi merah",dengan nasi merah dengan potate wedges sehat menu with brown rice with potate wedges healthy yang sehat dan lezat
139,panggang ayam keal premium,ayam,356,kentang nasi merah nasi putih,menu grilled chicken keal premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam panggang,"panggang ayam keal premium menu grilled chicken keal premium yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam panggang",panggang ayam keal premium menu grilled chicken keal premium yang sehat dan lezat
140,dengan nasi merah paket,ayam,369,jagung nasi merah kentang,menu with brown rice box yang sehat dan lezat,"['jagung', 'kentang', 'nasi merah']","jagung, kentang, nasi merah",,"dengan nasi merah paket menu with brown rice box yang sehat dan lezat jagung, kentang, nasi merah",dengan nasi merah paket menu with brown rice box yang sehat dan lezat
141,japanese sapi gyudon dengan nasi merah mangkuk,sapi,355,jagung nasi merah nasi putih,menu japanese beef gyudon with brown rice bowl yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein sapi,"japanese sapi gyudon dengan nasi merah mangkuk menu japanese beef gyudon with brown rice bowl yang sehat dan lezat jagung, nasi merah, nasi putih protein sapi",japanese sapi gyudon dengan nasi merah mangkuk menu japanese beef gyudon with brown rice bowl yang sehat dan lezat
142,ayam bakar mangkuk,ayam,430,kentang ubi nasi merah nasi putih,menu ayam bakar bowl yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam panggang,"ayam bakar mangkuk menu ayam bakar bowl yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam panggang",ayam bakar mangkuk menu ayam bakar bowl yang sehat dan lezat
143,sei ayam dengan lemonilo premium,ayam,418,jagung nasi merah kentang,menu sei ayam with lemonilo premium yang sehat dan lezat,"['jagung', 'kentang', 'nasi merah']","jagung, kentang, nasi merah",protein ayam,"sei ayam dengan lemonilo premium menu sei ayam with lemonilo premium yang sehat dan lezat jagung, kentang, nasi merah protein ayam",sei ayam dengan lemonilo premium menu sei ayam with lemonilo premium yang sehat dan lezat
144,soto ayam spesial spesial,ayam,360,kentang ubi nasi merah nasi putih,menu soto ayam spesial spesial yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam,"soto ayam spesial spesial menu soto ayam spesial spesial yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam",soto ayam spesial spesial menu soto ayam spesial spesial yang sehat dan lezat
145,rawon surabaya sapi ayam premium,ayam,417,jagung nasi merah nasi putih,menu rawon surabaya sapi ayam premium yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam protein sapi,"rawon surabaya sapi ayam premium menu rawon surabaya sapi ayam premium yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam protein sapi",rawon surabaya sapi ayam premium menu rawon surabaya sapi ayam premium yang sehat dan lezat
146,dori oat saus wijen premium,ikan,423,kentang ubi nasi merah nasi putih,menu dori oat saus wijen premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ikan,"dori oat saus wijen premium menu dori oat saus wijen premium yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ikan",dori oat saus wijen premium menu dori oat saus wijen premium yang sehat dan lezat
147,konsumsi dada ayam sehat,ayam,436,jagung nasi merah kentang,menu konsumsi dada ayam healthy yang sehat dan lezat,"['jagung', 'kentang', 'nasi merah']","jagung, kentang, nasi merah",protein ayam,"konsumsi dada ayam sehat menu konsumsi dada ayam healthy yang sehat dan lezat jagung, kentang, nasi merah protein ayam",konsumsi dada ayam sehat menu konsumsi dada ayam healthy yang sehat dan lezat
148,sapi cabe garam spesial,sapi,433,kentang nasi merah nasi putih,menu sapi cabe garam spesial yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein sapi,"sapi cabe garam spesial menu sapi cabe garam spesial yang sehat dan lezat kentang, nasi merah, nasi putih protein sapi",sapi cabe garam spesial menu sapi cabe garam spesial yang sehat dan lezat
149,nasi merah ce apple tea saldo gopay diet,ayam,429,kentang ubi nasi merah nasi putih,menu brown rice ce apple tea saldo gopay diet yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",,"nasi merah ce apple tea saldo gopay diet menu brown rice ce apple tea saldo gopay diet yang sehat dan lezat kentang, nasi merah, nasi putih, ubi",nasi merah ce apple tea saldo gopay diet menu brown rice ce apple tea saldo gopay diet yang sehat dan lezat
150,ayam tomyum paket,ayam,370,jagung nasi merah nasi putih,menu chicken tomyum box yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam tomyum paket menu chicken tomyum box yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam",ayam tomyum paket menu chicken tomyum box yang sehat dan lezat
151,ayam saus mentega diet,ayam,434,kentang nasi merah nasi putih,menu ayam saus mentega diet yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam saus mentega diet menu ayam saus mentega diet yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam",ayam saus mentega diet menu ayam saus mentega diet yang sehat dan lezat
152,dori keripik saus asam manis lengkap,ikan,398,jagung nasi merah nasi putih,menu dori chips saus asam manis lengkap yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan manis,"dori keripik saus asam manis lengkap menu dori chips saus asam manis lengkap yang sehat dan lezat jagung, nasi merah, nasi putih protein ikan manis",dori keripik saus asam manis lengkap menu dori chips saus asam manis lengkap yang sehat dan lezat
153,dori telur asin mangkuk,ikan,447,kentang ubi nasi merah nasi putih,menu dori salted egg bowl yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ikan,"dori telur asin mangkuk menu dori salted egg bowl yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ikan",dori telur asin mangkuk menu dori salted egg bowl yang sehat dan lezat
154,recharge dengan se l sapi lengkap,sapi,427,kentang ubi nasi merah nasi putih,menu recharge with se l sapi lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein sapi,"recharge dengan se l sapi lengkap menu recharge with se l sapi lengkap yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein sapi",recharge dengan se l sapi lengkap menu recharge with se l sapi lengkap yang sehat dan lezat
155,dori katsu saus asam manis premium,ikan,439,jagung nasi merah nasi putih,menu dori katsu saus asam manis premium yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan manis,"dori katsu saus asam manis premium menu dori katsu saus asam manis premium yang sehat dan lezat jagung, nasi merah, nasi putih protein ikan manis",dori katsu saus asam manis premium menu dori katsu saus asam manis premium yang sehat dan lezat
156,ayam maranggi mangkuk,ayam,405,kentang ubi nasi merah nasi putih,menu ayam maranggi bowl yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam,"ayam maranggi mangkuk menu ayam maranggi bowl yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam",ayam maranggi mangkuk menu ayam maranggi bowl yang sehat dan lezat
157,daging ayam mangkuk,ayam,395,kentang ubi nasi merah nasi putih,menu daging ayam bowl yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam protein sapi,"daging ayam mangkuk menu daging ayam bowl yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam protein sapi",daging ayam mangkuk menu daging ayam bowl yang sehat dan lezat
158,sei sapi dengan potatoes diet,sapi,419,jagung nasi merah nasi putih,menu sei sapi with potatoes diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein sapi,"sei sapi dengan potatoes diet menu sei sapi with potatoes diet yang sehat dan lezat jagung, nasi merah, nasi putih protein sapi",sei sapi dengan potatoes diet menu sei sapi with potatoes diet yang sehat dan lezat
159,soto ayam kuning paket,ayam,418,jagung nasi merah nasi putih,menu soto ayam kuning box yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"soto ayam kuning paket menu soto ayam kuning box yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam",soto ayam kuning paket menu soto ayam kuning box yang sehat dan lezat
160,soto bandung lengkap,ayam,355,jagung nasi merah nasi putih,menu soto bandung lengkap yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",,"soto bandung lengkap menu soto bandung lengkap yang sehat dan lezat jagung, nasi merah, nasi putih",soto bandung lengkap menu soto bandung lengkap yang sehat dan lezat
161,pasta aglio eolio dori stik diet,ikan,395,kentang ubi nasi merah nasi putih,menu pasta aglio eolio dori stick diet yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ikan,"pasta aglio eolio dori stik diet menu pasta aglio eolio dori stick diet yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ikan",pasta aglio eolio dori stik diet menu pasta aglio eolio dori stick diet yang sehat dan lezat
162,opor ayam tanpa santan lengkap,ayam,360,kentang nasi merah nasi putih,menu opor ayam tanpa santan lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"opor ayam tanpa santan lengkap menu opor ayam tanpa santan lengkap yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam",opor ayam tanpa santan lengkap menu opor ayam tanpa santan lengkap yang sehat dan lezat
163,ayam lada hitam mangkuk,ayam,379,kentang ubi nasi merah nasi putih,menu chicken blackpepper bowl yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam blackpepper,"ayam lada hitam mangkuk menu chicken blackpepper bowl yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam blackpepper",ayam lada hitam mangkuk menu chicken blackpepper bowl yang sehat dan lezat
164,sapi cabe garam paket,sapi,373,kentang ubi nasi merah nasi putih,menu sapi cabe garam box yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein sapi,"sapi cabe garam paket menu sapi cabe garam box yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein sapi",sapi cabe garam paket menu sapi cabe garam box yang sehat dan lezat
165,ayam stik diet,ayam,360,kentang ubi nasi merah nasi putih,menu chicken steak diet yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam,"ayam stik diet menu chicken steak diet yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam",ayam stik diet menu chicken steak diet yang sehat dan lezat
166,pangsit ayam kuah premium,ayam,362,kentang nasi merah nasi putih,menu pangsit ayam kuah premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"pangsit ayam kuah premium menu pangsit ayam kuah premium yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam",pangsit ayam kuah premium menu pangsit ayam kuah premium yang sehat dan lezat
167,ikan stik saus korea spesial,ikan,392,kentang ubi nasi merah nasi putih,menu fish stick saus korea spesial yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ikan,"ikan stik saus korea spesial menu fish stick saus korea spesial yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ikan",ikan stik saus korea spesial menu fish stick saus korea spesial yang sehat dan lezat
168,ayam bakar bacem lengkap,ayam,398,kentang nasi merah nasi putih,menu ayam bakar bacem lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam panggang,"ayam bakar bacem lengkap menu ayam bakar bacem lengkap yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam panggang",ayam bakar bacem lengkap menu ayam bakar bacem lengkap yang sehat dan lezat
169,ayam teriyaki panggang lengkap,ayam,379,jagung nasi merah kentang,menu chicken teriyaki grill lengkap yang sehat dan lezat,"['jagung', 'kentang', 'nasi merah']","jagung, kentang, nasi merah",protein ayam panggang teriyaki,"ayam teriyaki panggang lengkap menu chicken teriyaki grill lengkap yang sehat dan lezat jagung, kentang, nasi merah protein ayam panggang teriyaki",ayam teriyaki panggang lengkap menu chicken teriyaki grill lengkap yang sehat dan lezat
170,ayam teriyaki panggang lengkap,ayam,379,jagung nasi merah kentang,menu chicken teriyaki grill lengkap yang sehat dan lezat,"['jagung', 'kentang', 'nasi merah']","jagung, kentang, nasi merah",protein ayam panggang teriyaki,"ayam teriyaki panggang lengkap menu chicken teriyaki grill lengkap yang sehat dan lezat jagung, kentang, nasi merah protein ayam panggang teriyaki",ayam teriyaki panggang lengkap menu chicken teriyaki grill lengkap yang sehat dan lezat
171,ayam sambel geprek mangkuk,ayam,371,kentang ubi nasi merah nasi putih,menu ayam sambel geprek bowl yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam,"ayam sambel geprek mangkuk menu ayam sambel geprek bowl yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam",ayam sambel geprek mangkuk menu ayam sambel geprek bowl yang sehat dan lezat
172,dori stik premium,ikan,369,jagung nasi merah nasi putih,menu dori stick premium yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan,"dori stik premium menu dori stick premium yang sehat dan lezat jagung, nasi merah, nasi putih protein ikan",dori stik premium menu dori stick premium yang sehat dan lezat
173,soto betawi tanpa santan premium,ayam,359,kentang ubi nasi merah nasi putih,menu soto betawi tanpa santan premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",,"soto betawi tanpa santan premium menu soto betawi tanpa santan premium yang sehat dan lezat kentang, nasi merah, nasi putih, ubi",soto betawi tanpa santan premium menu soto betawi tanpa santan premium yang sehat dan lezat
174,soto betawi tanpa santan premium,ayam,359,kentang ubi nasi merah nasi putih,menu soto betawi tanpa santan premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",,"soto betawi tanpa santan premium menu soto betawi tanpa santan premium yang sehat dan lezat kentang, nasi merah, nasi putih, ubi",soto betawi tanpa santan premium menu soto betawi tanpa santan premium yang sehat dan lezat
175,ayam lada hitam telur tortila lengkap,ayam,390,kentang ubi nasi merah nasi putih,menu chicken blackpepper egg tortila lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam blackpepper,"ayam lada hitam telur tortila lengkap menu chicken blackpepper egg tortila lengkap yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam blackpepper",ayam lada hitam telur tortila lengkap menu chicken blackpepper egg tortila lengkap yang sehat dan lezat
176,dori sambal matah sehat,ikan,355,jagung nasi merah nasi putih,menu dori sambal matah healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan,"dori sambal matah sehat menu dori sambal matah healthy yang sehat dan lezat jagung, nasi merah, nasi putih protein ikan",dori sambal matah sehat menu dori sambal matah healthy yang sehat dan lezat
177,ayam serundeng sambal korek lengkap,ayam,418,kentang ubi nasi merah nasi putih,menu ayam serundeng sambal korek lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam,"ayam serundeng sambal korek lengkap menu ayam serundeng sambal korek lengkap yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam",ayam serundeng sambal korek lengkap menu ayam serundeng sambal korek lengkap yang sehat dan lezat
178,dori katsu balado spesial,ikan,423,jagung nasi merah nasi putih,menu dori katsu balado spesial yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan,"dori katsu balado spesial menu dori katsu balado spesial yang sehat dan lezat jagung, nasi merah, nasi putih protein ikan",dori katsu balado spesial menu dori katsu balado spesial yang sehat dan lezat
179,rawon surabaya lengkap,sapi,423,kentang nasi merah nasi putih,menu rawon surabaya lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",,"rawon surabaya lengkap menu rawon surabaya lengkap yang sehat dan lezat kentang, nasi merah, nasi putih",rawon surabaya lengkap menu rawon surabaya lengkap yang sehat dan lezat
180,ayam lada hitam sehat,ayam,391,jagung nasi merah nasi putih,menu chicken blackpepper healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam blackpepper,"ayam lada hitam sehat menu chicken blackpepper healthy yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam blackpepper",ayam lada hitam sehat menu chicken blackpepper healthy yang sehat dan lezat
181,ayam bola krispi diet,ayam,449,jagung nasi merah kentang,menu chicken ball crispy diet yang sehat dan lezat,"['jagung', 'kentang', 'nasi merah']","jagung, kentang, nasi merah",protein ayam,"ayam bola krispi diet menu chicken ball crispy diet yang sehat dan lezat jagung, kentang, nasi merah protein ayam",ayam bola krispi diet menu chicken ball crispy diet yang sehat dan lezat
182,sei ayam dengan potatoes premium,ayam,379,kentang nasi merah nasi putih,menu sei ayam with potatoes premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"sei ayam dengan potatoes premium menu sei ayam with potatoes premium yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam",sei ayam dengan potatoes premium menu sei ayam with potatoes premium yang sehat dan lezat
183,pangsit ayam yamin yahun sehat,ayam,430,kentang nasi merah nasi putih,menu pangsit ayam yamin yahun healthy yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"pangsit ayam yamin yahun sehat menu pangsit ayam yamin yahun healthy yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam",pangsit ayam yamin yahun sehat menu pangsit ayam yamin yahun healthy yang sehat dan lezat
184,sei sapi dengan lemonilo premium,sapi,395,kentang ubi nasi merah nasi putih,menu sei sapi with lemonilo premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein sapi,"sei sapi dengan lemonilo premium menu sei sapi with lemonilo premium yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein sapi",sei sapi dengan lemonilo premium menu sei sapi with lemonilo premium yang sehat dan lezat
185,panggang ayam sei sapi ayam penyet diet,ayam,359,kentang ubi nasi merah nasi putih,menu grilled chicken sei sapi ayam penyet diet yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam protein sapi panggang,"panggang ayam sei sapi ayam penyet diet menu grilled chicken sei sapi ayam penyet diet yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam protein sapi panggang",panggang ayam sei sapi ayam penyet diet menu grilled chicken sei sapi ayam penyet diet yang sehat dan lezat
186,ayam barbeque panggang diet,ayam,407,jagung nasi merah nasi putih,menu chicken bbq grill diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam panggang,"ayam barbeque panggang diet menu chicken bbq grill diet yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam panggang",ayam barbeque panggang diet menu chicken bbq grill diet yang sehat dan lezat
187,sei sapi diet,sapi,355,jagung nasi merah nasi putih,menu sei sapi diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein sapi,"sei sapi diet menu sei sapi diet yang sehat dan lezat jagung, nasi merah, nasi putih protein sapi",sei sapi diet menu sei sapi diet yang sehat dan lezat
188,sei ayam dengan nasi merah sei paket,ayam,436,jagung nasi merah nasi putih,menu sei ayam with brown rice sei box yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"sei ayam dengan nasi merah sei paket menu sei ayam with brown rice sei box yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam",sei ayam dengan nasi merah sei paket menu sei ayam with brown rice sei box yang sehat dan lezat
189,dietgo goreng ayam mangkuk,ayam,351,jagung nasi merah nasi putih,menu dietgo fried chicken bowl yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam goreng,"dietgo goreng ayam mangkuk menu dietgo fried chicken bowl yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam goreng",dietgo goreng ayam mangkuk menu dietgo fried chicken bowl yang sehat dan lezat
190,sapi yakiniku spesial,sapi,413,jagung nasi merah kentang,menu beef yakiniku spesial yang sehat dan lezat,"['jagung', 'kentang', 'nasi merah']","jagung, kentang, nasi merah",protein sapi,"sapi yakiniku spesial menu beef yakiniku spesial yang sehat dan lezat jagung, kentang, nasi merah protein sapi",sapi yakiniku spesial menu beef yakiniku spesial yang sehat dan lezat
191,ayam sandwich paket,ayam,418,kentang ubi nasi merah nasi putih,menu chicken sandwich box yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam,"ayam sandwich paket menu chicken sandwich box yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam",ayam sandwich paket menu chicken sandwich box yang sehat dan lezat
192,dori popcorn premium,ikan,436,kentang ubi nasi merah nasi putih,menu dori popcorn premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ikan,"dori popcorn premium menu dori popcorn premium yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ikan",dori popcorn premium menu dori popcorn premium yang sehat dan lezat
193,dori sambal matah diet,ikan,395,jagung nasi merah nasi putih,menu dori sambal matah diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan,"dori sambal matah diet menu dori sambal matah diet yang sehat dan lezat jagung, nasi merah, nasi putih protein ikan",dori sambal matah diet menu dori sambal matah diet yang sehat dan lezat
194,ayam krispi saus barbeque lengkap,ayam,427,kentang nasi merah nasi putih,menu chicken crispy saus barbeque lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam krispi saus barbeque lengkap menu chicken crispy saus barbeque lengkap yang sehat dan lezat kentang, nasi merah, nasi putih protein ayam",ayam krispi saus barbeque lengkap menu chicken crispy saus barbeque lengkap yang sehat dan lezat
195,ayam patty krispi mangkuk,ayam,379,jagung nasi merah nasi putih,menu chicken patty crispy bowl yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam patty krispi mangkuk menu chicken patty crispy bowl yang sehat dan lezat jagung, nasi merah, nasi putih protein ayam",ayam patty krispi mangkuk menu chicken patty crispy bowl yang sehat dan lezat
196,ayam bola krispi lengkap,ayam,373,kentang ubi nasi merah nasi putih,menu chicken ball crispy lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam,"ayam bola krispi lengkap menu chicken ball crispy lengkap yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein ayam",ayam bola krispi lengkap menu chicken ball crispy lengkap yang sehat dan lezat
197,gulai ikan sehat,ikan,356,jagung nasi merah nasi putih,menu gulai ikan healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan,"gulai ikan sehat menu gulai ikan healthy yang sehat dan lezat jagung, nasi merah, nasi putih protein ikan",gulai ikan sehat menu gulai ikan healthy yang sehat dan lezat
198,bola daging teriyaki paket,sapi,434,kentang ubi nasi merah nasi putih,menu bola daging teriyaki box yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein sapi teriyaki,"bola daging teriyaki paket menu bola daging teriyaki box yang sehat dan lezat kentang, nasi merah, nasi putih, ubi protein sapi teriyaki",bola daging teriyaki paket menu bola daging teriyaki box yang sehat dan lezat
199,bola daging saus lada hitam diet,sapi,434,jagung nasi merah nasi putih,menu bola daging saus lada hitam diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein sapi blackpepper,"bola daging saus lada hitam diet menu bola daging saus lada hitam diet yang sehat dan lezat jagung, nasi merah, nasi putih protein sapi blackpepper",bola daging saus lada hitam diet menu bola daging saus lada hitam diet yang sehat dan lezat
