No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean,Nama_Lower,Deskripsi_Lower,Keyword_Semantik,enhanced_corpus,enhanced_corpus_mccbf,corpus_rf
128,Ayam Serundeng Sambal Korek,ayam,400,jagung nasi merah nasi putih,ayam serundeng sambal korek pedas lauk tempe,"['nasi', 'putih', 'jagung', 'merah']",ayam serundeng sambal korek ayam jagung nasi merah nasi putih ayam serundeng sambal korek pedas lauk tempe,"jagung, nasi merah, nasi putih",ayam serundeng sambal korek,ayam serundeng sambal korek pedas lauk tempe,protein_ayam,ayam serundeng sambal korek ayam jagung putih nasi merah ayam serundeng sambal korek pedas lauk tempe protein_ayam,ayam serundeng sambal korek ayam serundeng sambal korek pedas lauk tempe nasi putih jagung merah protein_ayam,ayam serundeng sambal korek ayam serundeng sambal korek pedas lauk tempe
129,Dori Keripik Saus Asam Manis,ikan,400,kentang nasi merah nasi putih,keping dori renyah saus asam manis tumis sayur,"['nasi', 'putih', 'kentang', 'merah']",dori chips saus asam manis ikan kentang nasi merah nasi putih keping dori renyah saus asam manis tumis sayur,"kentang, nasi merah, nasi putih",dori keripik saus asam manis,keping dori renyah saus asam manis tumis sayur,protein_ikan manis,dori keripik saus asam manis ikan merah putih kentang nasi keping dori renyah saus asam manis tumis sayur protein_ikan manis,dori keripik saus asam manis keping dori renyah saus asam manis tumis sayur nasi putih kentang merah protein_ikan manis,dori keripik saus asam manis keping dori renyah saus asam manis tumis sayur
130,Ayam Lada Hitam Telur Tortila,ayam,395,jagung ubi nasi merah nasi putih,ayam lada hitam disajikan dengan tortila telur,"['nasi', 'merah', 'ubi', 'putih', 'jagung']",chicken blackpepper egg tortila ayam jagung ubi nasi merah nasi putih ayam lada hitam disajikan dengan tortila telur,"jagung, ubi, nasi merah, nasi putih",ayam lada hitam telur tortila,ayam lada hitam disajikan dengan tortila telur,protein_ayam blackpepper,ayam lada hitam telur tortila ayam jagung putih nasi ubi merah ayam lada hitam disajikan dengan tortila telur protein_ayam ladahitam,ayam lada hitam telur tortila ayam lada hitam disajikan dengan tortila telur nasi merah ubi putih jagung protein_ayam blackpepper,ayam lada hitam telur tortila ayam lada hitam disajikan dengan tortila telur
131,Sapi Bulgogi,sapi,400,jagung nasi merah nasi putih,daging sapi bulgogi sayur tepanyaki lauk tahu,"['nasi', 'putih', 'jagung', 'merah']",beef bulgogi sapi jagung nasi merah nasi putih daging sapi bulgogi sayur tepanyaki lauk tahu,"jagung, nasi merah, nasi putih",sapi bulgogi,daging sapi bulgogi sayur tepanyaki lauk tahu,protein_sapi,sapi bulgogi sapi jagung putih nasi merah daging sapi bulgogi sayur tepanyaki lauk tahu protein_sapi,sapi bulgogi daging sapi bulgogi sayur tepanyaki lauk tahu nasi putih jagung merah protein_sapi,sapi bulgogi daging sapi bulgogi sayur tepanyaki lauk tahu
132,Ayam Karage Saus Korea,ayam,395,kentang ubi nasi merah nasi putih,karage ayam panggang saus korea pedas manis,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",chicken karage saus korea ayam kentang ubi nasi merah nasi putih karage ayam panggang saus korea pedas manis,"kentang, ubi, nasi merah, nasi putih",ayam karage saus korea,karage ayam panggang saus korea pedas manis,protein_ayam,ayam karage saus korea ayam kentang putih nasi ubi merah karage ayam panggang saus korea pedas manis protein_ayam,ayam karage saus korea karage ayam panggang saus korea pedas manis nasi merah ubi putih kentang protein_ayam,ayam karage saus korea karage ayam panggang saus korea pedas manis
133,Ayam Sandwich,ayam,395,jagung nasi merah nasi putih,sandwich ayam tanpa roti salad lauk telur,"['nasi', 'putih', 'jagung', 'merah']",chicken sandwich ayam jagung nasi merah nasi putih sandwich ayam tanpa roti salad lauk telur,"jagung, nasi merah, nasi putih",ayam sandwich,sandwich ayam tanpa roti salad lauk telur,protein_ayam,ayam sandwich ayam jagung putih nasi merah sandwich ayam tanpa roti salad lauk telur protein_ayam,ayam sandwich sandwich ayam tanpa roti salad lauk telur nasi putih jagung merah protein_ayam,ayam sandwich sandwich ayam tanpa roti salad lauk telur
134,Sei Ayam Dengan Nasi Merah Spesial,ayam,427,kentang nasi merah nasi putih,menu sei ayam with brown rice spesial yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",sei ayam with brown rice spesial ayam kentang nasi merah nasi putih menu sei ayam with brown rice spesial yang sehat dan lezat,"kentang, nasi merah, nasi putih",sei ayam dengan nasi merah spesial,menu sei ayam with brown rice spesial yang sehat dan lezat,protein_ayam,sei ayam dengan nasi merah spesial ayam merah putih kentang nasi menu sei ayam with brown rice spesial yang sehat dan lezat protein_ayam,sei ayam dengan nasi merah spesial menu sei ayam with brown rice spesial yang sehat dan lezat nasi putih kentang merah protein_ayam,sei ayam dengan nasi merah spesial menu sei ayam with brown rice spesial yang sehat dan lezat
135,Ayam Potatoes Mangkuk,ayam,380,kentang ubi nasi merah nasi putih,menu chicken potatoes bowl yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",chicken potatoes bowl ayam kentang ubi nasi merah nasi putih menu chicken potatoes bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam potatoes mangkuk,menu chicken potatoes bowl yang sehat dan lezat,protein_ayam,ayam potatoes mangkuk ayam kentang putih nasi ubi merah menu chicken potatoes bowl yang sehat dan lezat protein_ayam,ayam potatoes mangkuk menu chicken potatoes bowl yang sehat dan lezat nasi merah ubi putih kentang protein_ayam,ayam potatoes mangkuk menu chicken potatoes bowl yang sehat dan lezat
136,Sei Sapi Paket,sapi,355,jagung nasi merah kentang,menu sei sapi box yang sehat dan lezat,"['nasi', 'kentang', 'jagung', 'merah']",sei sapi box sapi jagung nasi merah kentang menu sei sapi box yang sehat dan lezat,"jagung, nasi merah, kentang",sei sapi paket,menu sei sapi box yang sehat dan lezat,protein_sapi,sei sapi paket sapi jagung kentang nasi merah menu sei sapi box yang sehat dan lezat protein_sapi,sei sapi paket menu sei sapi box yang sehat dan lezat nasi kentang jagung merah protein_sapi,sei sapi paket menu sei sapi box yang sehat dan lezat
137,Panggang Ayam Dengan Lemonilo Sehat,ayam,449,jagung nasi merah kentang,menu grilled chicken with lemonilo healthy yang sehat dan lezat,"['nasi', 'kentang', 'jagung', 'merah']",grilled chicken with lemonilo healthy ayam jagung nasi merah kentang menu grilled chicken with lemonilo healthy yang sehat dan lezat,"jagung, nasi merah, kentang",panggang ayam dengan lemonilo sehat,menu grilled chicken with lemonilo healthy yang sehat dan lezat,protein_ayam panggang,panggang ayam dengan lemonilo sehat ayam jagung kentang nasi merah menu grilled chicken with lemonilo healthy yang sehat dan lezat protein_ayam,panggang ayam dengan lemonilo sehat menu grilled chicken with lemonilo healthy yang sehat dan lezat nasi kentang jagung merah protein_ayam panggang,panggang ayam dengan lemonilo sehat menu grilled chicken with lemonilo healthy yang sehat dan lezat
138,Dengan Nasi Merah Dengan Potate Wedges Sehat,ayam,419,jagung nasi merah kentang,menu with brown rice with potate wedges healthy yang sehat dan lezat,"['nasi', 'kentang', 'jagung', 'merah']",with brown rice with potate wedges healthy lainnya jagung nasi merah kentang menu with brown rice with potate wedges healthy yang sehat dan lezat,"jagung, nasi merah, kentang",dengan nasi merah dengan potate wedges sehat,menu with brown rice with potate wedges healthy yang sehat dan lezat,,dengan nasi merah dengan potate wedges sehat ayam jagung kentang nasi merah menu with brown rice with potate wedges healthy yang sehat dan lezat ,dengan nasi merah dengan potate wedges sehat menu with brown rice with potate wedges healthy yang sehat dan lezat nasi kentang jagung merah ,dengan nasi merah dengan potate wedges sehat menu with brown rice with potate wedges healthy yang sehat dan lezat
139,Panggang Ayam 400 Keal Premium,ayam,356,kentang nasi merah nasi putih,menu grilled chicken 400 keal premium yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",grilled chicken 400 keal premium ayam kentang nasi merah nasi putih menu grilled chicken 400 keal premium yang sehat dan lezat,"kentang, nasi merah, nasi putih",panggang ayam 400 keal premium,menu grilled chicken 400 keal premium yang sehat dan lezat,protein_ayam panggang,panggang ayam 400 keal premium ayam merah putih kentang nasi menu grilled chicken 400 keal premium yang sehat dan lezat protein_ayam,panggang ayam 400 keal premium menu grilled chicken 400 keal premium yang sehat dan lezat nasi putih kentang merah protein_ayam panggang,panggang ayam 400 keal premium menu grilled chicken 400 keal premium yang sehat dan lezat
140,Dengan Nasi Merah Paket,ayam,369,jagung nasi merah kentang,menu with brown rice box yang sehat dan lezat,"['nasi', 'kentang', 'jagung', 'merah']",with brown rice box lainnya jagung nasi merah kentang menu with brown rice box yang sehat dan lezat,"jagung, nasi merah, kentang",dengan nasi merah paket,menu with brown rice box yang sehat dan lezat,,dengan nasi merah paket ayam jagung kentang nasi merah menu with brown rice box yang sehat dan lezat ,dengan nasi merah paket menu with brown rice box yang sehat dan lezat nasi kentang jagung merah ,dengan nasi merah paket menu with brown rice box yang sehat dan lezat
141,Japanese Sapi Gyudon Dengan Nasi Merah Mangkuk,sapi,355,jagung nasi merah nasi putih,menu japanese beef gyudon with brown rice bowl yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",japanese beef gyudon with brown rice bowl sapi jagung nasi merah nasi putih menu japanese beef gyudon with brown rice bowl yang sehat dan lezat,"jagung, nasi merah, nasi putih",japanese sapi gyudon dengan nasi merah mangkuk,menu japanese beef gyudon with brown rice bowl yang sehat dan lezat,protein_sapi,japanese sapi gyudon dengan nasi merah mangkuk sapi jagung putih nasi merah menu japanese beef gyudon with brown rice bowl yang sehat dan lezat protein_sapi,japanese sapi gyudon dengan nasi merah mangkuk menu japanese beef gyudon with brown rice bowl yang sehat dan lezat nasi putih jagung merah protein_sapi,japanese sapi gyudon dengan nasi merah mangkuk menu japanese beef gyudon with brown rice bowl yang sehat dan lezat
142,Ayam Bakar Mangkuk,ayam,430,kentang ubi nasi merah nasi putih,menu ayam bakar bowl yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",ayam bakar bowl ayam kentang ubi nasi merah nasi putih menu ayam bakar bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam bakar mangkuk,menu ayam bakar bowl yang sehat dan lezat,protein_ayam panggang,ayam bakar mangkuk ayam kentang putih nasi ubi merah menu ayam bakar bowl yang sehat dan lezat protein_ayam panggang,ayam bakar mangkuk menu ayam bakar bowl yang sehat dan lezat nasi merah ubi putih kentang protein_ayam panggang,ayam bakar mangkuk menu ayam bakar bowl yang sehat dan lezat
143,Sei Ayam Dengan Lemonilo Premium,ayam,418,jagung nasi merah kentang,menu sei ayam with lemonilo premium yang sehat dan lezat,"['nasi', 'kentang', 'jagung', 'merah']",sei ayam with lemonilo premium ayam jagung nasi merah kentang menu sei ayam with lemonilo premium yang sehat dan lezat,"jagung, nasi merah, kentang",sei ayam dengan lemonilo premium,menu sei ayam with lemonilo premium yang sehat dan lezat,protein_ayam,sei ayam dengan lemonilo premium ayam jagung kentang nasi merah menu sei ayam with lemonilo premium yang sehat dan lezat protein_ayam,sei ayam dengan lemonilo premium menu sei ayam with lemonilo premium yang sehat dan lezat nasi kentang jagung merah protein_ayam,sei ayam dengan lemonilo premium menu sei ayam with lemonilo premium yang sehat dan lezat
144,Soto Ayam Spesial Spesial,ayam,360,kentang ubi nasi merah nasi putih,menu soto ayam spesial spesial yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",soto ayam spesial spesial ayam kentang ubi nasi merah nasi putih menu soto ayam spesial spesial yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",soto ayam spesial spesial,menu soto ayam spesial spesial yang sehat dan lezat,protein_ayam,soto ayam spesial spesial ayam kentang putih nasi ubi merah menu soto ayam spesial spesial yang sehat dan lezat protein_ayam,soto ayam spesial spesial menu soto ayam spesial spesial yang sehat dan lezat nasi merah ubi putih kentang protein_ayam,soto ayam spesial spesial menu soto ayam spesial spesial yang sehat dan lezat
145,Rawon Surabaya Sapi Ayam Premium,ayam,417,jagung nasi merah nasi putih,menu rawon surabaya sapi ayam premium yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",rawon surabaya sapi ayam premium lainnya jagung nasi merah nasi putih menu rawon surabaya sapi ayam premium yang sehat dan lezat,"jagung, nasi merah, nasi putih",rawon surabaya sapi ayam premium,menu rawon surabaya sapi ayam premium yang sehat dan lezat,protein_ayam protein_sapi,rawon surabaya sapi ayam premium ayam jagung putih nasi merah menu rawon surabaya sapi ayam premium yang sehat dan lezat protein_ayam protein_sapi,rawon surabaya sapi ayam premium menu rawon surabaya sapi ayam premium yang sehat dan lezat nasi putih jagung merah protein_ayam protein_sapi,rawon surabaya sapi ayam premium menu rawon surabaya sapi ayam premium yang sehat dan lezat
146,Dori Oat Saus Wijen Premium,ikan,423,kentang ubi nasi merah nasi putih,menu dori oat saus wijen premium yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",dori oat saus wijen premium ikan kentang ubi nasi merah nasi putih menu dori oat saus wijen premium yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",dori oat saus wijen premium,menu dori oat saus wijen premium yang sehat dan lezat,protein_ikan,dori oat saus wijen premium ikan kentang putih nasi ubi merah menu dori oat saus wijen premium yang sehat dan lezat protein_ikan,dori oat saus wijen premium menu dori oat saus wijen premium yang sehat dan lezat nasi merah ubi putih kentang protein_ikan,dori oat saus wijen premium menu dori oat saus wijen premium yang sehat dan lezat
147,Konsumsi Dada Ayam Sehat,ayam,436,jagung nasi merah kentang,menu konsumsi dada ayam healthy yang sehat dan lezat,"['nasi', 'kentang', 'jagung', 'merah']",konsumsi dada ayam healthy ayam jagung nasi merah kentang menu konsumsi dada ayam healthy yang sehat dan lezat,"jagung, nasi merah, kentang",konsumsi dada ayam sehat,menu konsumsi dada ayam healthy yang sehat dan lezat,protein_ayam,konsumsi dada ayam sehat ayam jagung kentang nasi merah menu konsumsi dada ayam healthy yang sehat dan lezat protein_ayam,konsumsi dada ayam sehat menu konsumsi dada ayam healthy yang sehat dan lezat nasi kentang jagung merah protein_ayam,konsumsi dada ayam sehat menu konsumsi dada ayam healthy yang sehat dan lezat
148,Sapi Cabe Garam Spesial,sapi,433,kentang nasi merah nasi putih,menu sapi cabe garam spesial yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",sapi cabe garam spesial sapi kentang nasi merah nasi putih menu sapi cabe garam spesial yang sehat dan lezat,"kentang, nasi merah, nasi putih",sapi cabe garam spesial,menu sapi cabe garam spesial yang sehat dan lezat,protein_sapi,sapi cabe garam spesial sapi merah putih kentang nasi menu sapi cabe garam spesial yang sehat dan lezat protein_sapi,sapi cabe garam spesial menu sapi cabe garam spesial yang sehat dan lezat nasi putih kentang merah protein_sapi,sapi cabe garam spesial menu sapi cabe garam spesial yang sehat dan lezat
149,Nasi Merah Ce Apple Tea Saldo Gopay Diet,ayam,429,kentang ubi nasi merah nasi putih,menu brown rice ce apple tea saldo gopay diet yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",brown rice ce apple tea saldo gopay diet lainnya kentang ubi nasi merah nasi putih menu brown rice ce apple tea saldo gopay diet yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",nasi merah ce apple tea saldo gopay diet,menu brown rice ce apple tea saldo gopay diet yang sehat dan lezat,,nasi merah ce apple tea saldo gopay diet ayam kentang putih nasi ubi merah menu brown rice ce apple tea saldo gopay diet yang sehat dan lezat ,nasi merah ce apple tea saldo gopay diet menu brown rice ce apple tea saldo gopay diet yang sehat dan lezat nasi merah ubi putih kentang ,nasi merah ce apple tea saldo gopay diet menu brown rice ce apple tea saldo gopay diet yang sehat dan lezat
150,Ayam Tomyum Paket,ayam,370,jagung nasi merah nasi putih,menu chicken tomyum box yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",chicken tomyum box ayam jagung nasi merah nasi putih menu chicken tomyum box yang sehat dan lezat,"jagung, nasi merah, nasi putih",ayam tomyum paket,menu chicken tomyum box yang sehat dan lezat,protein_ayam,ayam tomyum paket ayam jagung putih nasi merah menu chicken tomyum box yang sehat dan lezat protein_ayam,ayam tomyum paket menu chicken tomyum box yang sehat dan lezat nasi putih jagung merah protein_ayam,ayam tomyum paket menu chicken tomyum box yang sehat dan lezat
151,Ayam Saus Mentega Diet,ayam,434,kentang nasi merah nasi putih,menu ayam saus mentega diet yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",ayam saus mentega diet ayam kentang nasi merah nasi putih menu ayam saus mentega diet yang sehat dan lezat,"kentang, nasi merah, nasi putih",ayam saus mentega diet,menu ayam saus mentega diet yang sehat dan lezat,protein_ayam,ayam saus mentega diet ayam merah putih kentang nasi menu ayam saus mentega diet yang sehat dan lezat protein_ayam,ayam saus mentega diet menu ayam saus mentega diet yang sehat dan lezat nasi putih kentang merah protein_ayam,ayam saus mentega diet menu ayam saus mentega diet yang sehat dan lezat
152,Dori Keripik Saus Asam Manis Lengkap,ikan,398,jagung nasi merah nasi putih,menu dori chips saus asam manis lengkap yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",dori chips saus asam manis lengkap ikan jagung nasi merah nasi putih menu dori chips saus asam manis lengkap yang sehat dan lezat,"jagung, nasi merah, nasi putih",dori keripik saus asam manis lengkap,menu dori chips saus asam manis lengkap yang sehat dan lezat,protein_ikan manis,dori keripik saus asam manis lengkap ikan jagung putih nasi merah menu dori chips saus asam manis lengkap yang sehat dan lezat protein_ikan manis,dori keripik saus asam manis lengkap menu dori chips saus asam manis lengkap yang sehat dan lezat nasi putih jagung merah protein_ikan manis,dori keripik saus asam manis lengkap menu dori chips saus asam manis lengkap yang sehat dan lezat
153,Dori Telur Asin Mangkuk,ikan,447,kentang ubi nasi merah nasi putih,menu dori salted egg bowl yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",dori salted egg bowl ikan kentang ubi nasi merah nasi putih menu dori salted egg bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",dori telur asin mangkuk,menu dori salted egg bowl yang sehat dan lezat,protein_ikan,dori telur asin mangkuk ikan kentang putih nasi ubi merah menu dori salted egg bowl yang sehat dan lezat protein_ikan,dori telur asin mangkuk menu dori salted egg bowl yang sehat dan lezat nasi merah ubi putih kentang protein_ikan,dori telur asin mangkuk menu dori salted egg bowl yang sehat dan lezat
154,Recharge Dengan Se L Sapi Lengkap,sapi,427,kentang ubi nasi merah nasi putih,menu recharge with se l sapi lengkap yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",recharge with se l sapi lengkap sapi kentang ubi nasi merah nasi putih menu recharge with se l sapi lengkap yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",recharge dengan se l sapi lengkap,menu recharge with se l sapi lengkap yang sehat dan lezat,protein_sapi,recharge dengan se l sapi lengkap sapi kentang putih nasi ubi merah menu recharge with se l sapi lengkap yang sehat dan lezat protein_sapi,recharge dengan se l sapi lengkap menu recharge with se l sapi lengkap yang sehat dan lezat nasi merah ubi putih kentang protein_sapi,recharge dengan se l sapi lengkap menu recharge with se l sapi lengkap yang sehat dan lezat
155,Dori Katsu Saus Asam Manis Premium,ikan,439,jagung nasi merah nasi putih,menu dori katsu saus asam manis premium yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",dori katsu saus asam manis premium ikan jagung nasi merah nasi putih menu dori katsu saus asam manis premium yang sehat dan lezat,"jagung, nasi merah, nasi putih",dori katsu saus asam manis premium,menu dori katsu saus asam manis premium yang sehat dan lezat,protein_ikan manis,dori katsu saus asam manis premium ikan jagung putih nasi merah menu dori katsu saus asam manis premium yang sehat dan lezat protein_ikan manis,dori katsu saus asam manis premium menu dori katsu saus asam manis premium yang sehat dan lezat nasi putih jagung merah protein_ikan manis,dori katsu saus asam manis premium menu dori katsu saus asam manis premium yang sehat dan lezat
156,Ayam Maranggi Mangkuk,ayam,405,kentang ubi nasi merah nasi putih,menu ayam maranggi bowl yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",ayam maranggi bowl ayam kentang ubi nasi merah nasi putih menu ayam maranggi bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam maranggi mangkuk,menu ayam maranggi bowl yang sehat dan lezat,protein_ayam,ayam maranggi mangkuk ayam kentang putih nasi ubi merah menu ayam maranggi bowl yang sehat dan lezat protein_ayam,ayam maranggi mangkuk menu ayam maranggi bowl yang sehat dan lezat nasi merah ubi putih kentang protein_ayam,ayam maranggi mangkuk menu ayam maranggi bowl yang sehat dan lezat
157,Daging Ayam Mangkuk,ayam,395,kentang ubi nasi merah nasi putih,menu daging ayam bowl yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",daging ayam bowl ayam kentang ubi nasi merah nasi putih menu daging ayam bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",daging ayam mangkuk,menu daging ayam bowl yang sehat dan lezat,protein_ayam protein_sapi,daging ayam mangkuk ayam kentang putih nasi ubi merah menu daging ayam bowl yang sehat dan lezat protein_ayam protein_sapi,daging ayam mangkuk menu daging ayam bowl yang sehat dan lezat nasi merah ubi putih kentang protein_ayam protein_sapi,daging ayam mangkuk menu daging ayam bowl yang sehat dan lezat
158,Sei Sapi Dengan Potatoes Diet,sapi,419,jagung nasi merah nasi putih,menu sei sapi with potatoes diet yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",sei sapi with potatoes diet sapi jagung nasi merah nasi putih menu sei sapi with potatoes diet yang sehat dan lezat,"jagung, nasi merah, nasi putih",sei sapi dengan potatoes diet,menu sei sapi with potatoes diet yang sehat dan lezat,protein_sapi,sei sapi dengan potatoes diet sapi jagung putih nasi merah menu sei sapi with potatoes diet yang sehat dan lezat protein_sapi,sei sapi dengan potatoes diet menu sei sapi with potatoes diet yang sehat dan lezat nasi putih jagung merah protein_sapi,sei sapi dengan potatoes diet menu sei sapi with potatoes diet yang sehat dan lezat
159,Soto Ayam Kuning Paket,ayam,418,jagung nasi merah nasi putih,menu soto ayam kuning box yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",soto ayam kuning box ayam jagung nasi merah nasi putih menu soto ayam kuning box yang sehat dan lezat,"jagung, nasi merah, nasi putih",soto ayam kuning paket,menu soto ayam kuning box yang sehat dan lezat,protein_ayam,soto ayam kuning paket ayam jagung putih nasi merah menu soto ayam kuning box yang sehat dan lezat protein_ayam,soto ayam kuning paket menu soto ayam kuning box yang sehat dan lezat nasi putih jagung merah protein_ayam,soto ayam kuning paket menu soto ayam kuning box yang sehat dan lezat
160,Soto Bandung Lengkap,ayam,355,jagung nasi merah nasi putih,menu soto bandung lengkap yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",soto bandung lengkap sapi jagung nasi merah nasi putih menu soto bandung lengkap yang sehat dan lezat,"jagung, nasi merah, nasi putih",soto bandung lengkap,menu soto bandung lengkap yang sehat dan lezat,,soto bandung lengkap ayam jagung putih nasi merah menu soto bandung lengkap yang sehat dan lezat ,soto bandung lengkap menu soto bandung lengkap yang sehat dan lezat nasi putih jagung merah ,soto bandung lengkap menu soto bandung lengkap yang sehat dan lezat
161,Pasta Aglio Eolio Dori Stik Diet,ikan,395,kentang ubi nasi merah nasi putih,menu pasta aglio eolio dori stick diet yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",pasta aglio eolio dori stick diet ikan kentang ubi nasi merah nasi putih menu pasta aglio eolio dori stick diet yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",pasta aglio eolio dori stik diet,menu pasta aglio eolio dori stick diet yang sehat dan lezat,protein_ikan,pasta aglio eolio dori stik diet ikan kentang putih nasi ubi merah menu pasta aglio eolio dori stick diet yang sehat dan lezat protein_ikan,pasta aglio eolio dori stik diet menu pasta aglio eolio dori stick diet yang sehat dan lezat nasi merah ubi putih kentang protein_ikan,pasta aglio eolio dori stik diet menu pasta aglio eolio dori stick diet yang sehat dan lezat
162,Opor Ayam Tanpa Santan Lengkap,ayam,360,kentang nasi merah nasi putih,menu opor ayam tanpa santan lengkap yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",opor ayam tanpa santan lengkap ayam kentang nasi merah nasi putih menu opor ayam tanpa santan lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih",opor ayam tanpa santan lengkap,menu opor ayam tanpa santan lengkap yang sehat dan lezat,protein_ayam,opor ayam tanpa santan lengkap ayam merah putih kentang nasi menu opor ayam tanpa santan lengkap yang sehat dan lezat protein_ayam,opor ayam tanpa santan lengkap menu opor ayam tanpa santan lengkap yang sehat dan lezat nasi putih kentang merah protein_ayam,opor ayam tanpa santan lengkap menu opor ayam tanpa santan lengkap yang sehat dan lezat
163,Ayam Lada Hitam Mangkuk,ayam,379,kentang ubi nasi merah nasi putih,menu chicken blackpepper bowl yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",chicken blackpepper bowl ayam kentang ubi nasi merah nasi putih menu chicken blackpepper bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam lada hitam mangkuk,menu chicken blackpepper bowl yang sehat dan lezat,protein_ayam blackpepper,ayam lada hitam mangkuk ayam kentang putih nasi ubi merah menu chicken blackpepper bowl yang sehat dan lezat protein_ayam ladahitam,ayam lada hitam mangkuk menu chicken blackpepper bowl yang sehat dan lezat nasi merah ubi putih kentang protein_ayam blackpepper,ayam lada hitam mangkuk menu chicken blackpepper bowl yang sehat dan lezat
164,Sapi Cabe Garam Paket,sapi,373,kentang ubi nasi merah nasi putih,menu sapi cabe garam box yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",sapi cabe garam box sapi kentang ubi nasi merah nasi putih menu sapi cabe garam box yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",sapi cabe garam paket,menu sapi cabe garam box yang sehat dan lezat,protein_sapi,sapi cabe garam paket sapi kentang putih nasi ubi merah menu sapi cabe garam box yang sehat dan lezat protein_sapi,sapi cabe garam paket menu sapi cabe garam box yang sehat dan lezat nasi merah ubi putih kentang protein_sapi,sapi cabe garam paket menu sapi cabe garam box yang sehat dan lezat
165,Ayam Stik Diet,ayam,360,kentang ubi nasi merah nasi putih,menu chicken steak diet yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",chicken steak diet ayam kentang ubi nasi merah nasi putih menu chicken steak diet yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam stik diet,menu chicken steak diet yang sehat dan lezat,protein_ayam,ayam stik diet ayam kentang putih nasi ubi merah menu chicken steak diet yang sehat dan lezat protein_ayam,ayam stik diet menu chicken steak diet yang sehat dan lezat nasi merah ubi putih kentang protein_ayam,ayam stik diet menu chicken steak diet yang sehat dan lezat
166,Pangsit Ayam Kuah Premium,ayam,362,kentang nasi merah nasi putih,menu pangsit ayam kuah premium yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",pangsit ayam kuah premium ayam kentang nasi merah nasi putih menu pangsit ayam kuah premium yang sehat dan lezat,"kentang, nasi merah, nasi putih",pangsit ayam kuah premium,menu pangsit ayam kuah premium yang sehat dan lezat,protein_ayam,pangsit ayam kuah premium ayam merah putih kentang nasi menu pangsit ayam kuah premium yang sehat dan lezat protein_ayam,pangsit ayam kuah premium menu pangsit ayam kuah premium yang sehat dan lezat nasi putih kentang merah protein_ayam,pangsit ayam kuah premium menu pangsit ayam kuah premium yang sehat dan lezat
