No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean
101,rendang ayam,ayam,400,kentang nasi merah nasi putih,rendang ayam tanpa santan tumis sayur lauk tempe,"['kentang', 'nasi merah', 'nasi putih']",rendang ayam ayam kentang nasi merah nasi putih rendang ayam tanpa santan tumis sayur lauk tempe,"kentang, nasi merah, nasi putih"
102,brokoli sapi lada hitam,sapi,400,jagung ubi nasi merah nasi putih,tumis brokoli sapi lada hitam sayuran kukus,"['jagung', 'ubi', 'nasi merah', 'nasi putih']",brokoli sapi lada hitam sapi jagung ubi nasi merah nasi putih tumis brokoli sapi lada hitam sayuran kukus,"jagung, ubi, nasi merah, nasi putih"
103,opor ayam tanpa santan,ayam,400,kentang nasi merah nasi putih,opor ayam kuah bening tanpa santan lauk telur,"['kentang', 'nasi merah', 'nasi putih']",opor ayam tanpa santan ayam kentang nasi merah nasi putih opor ayam kuah bening tanpa santan lauk telur,"kentang, nasi merah, nasi putih"
104,baked chicken honey,ayam,395,jagung ubi nasi merah nasi putih,ayam panggang madu sayur kukus lauk tahu,"['jagung', 'ubi', 'nasi merah', 'nasi putih']",baked chicken honey ayam jagung ubi nasi merah nasi putih ayam panggang madu sayur kukus lauk tahu,"jagung, ubi, nasi merah, nasi putih"
105,ikan woku,ikan,400,kentang nasi merah nasi putih,ikan bumbu woku pedas kemangi lauk telur orak arik,"['kentang', 'nasi merah', 'nasi putih']",ikan woku ikan kentang nasi merah nasi putih ikan bumbu woku pedas kemangi lauk telur orak arik,"kentang, nasi merah, nasi putih"
106,kebab ayam,ayam,395,jagung ubi nasi merah nasi putih,daging kebab ayam disajikan dengan salad sayur,"['jagung', 'ubi', 'nasi merah', 'nasi putih']",kebab ayam ayam jagung ubi nasi merah nasi putih daging kebab ayam disajikan dengan salad sayur,"jagung, ubi, nasi merah, nasi putih"
107,chicken blackpepper,ayam,400,jagung nasi merah nasi putih,ayam lada hitam sayur tepanyaki telur orak arik,"['jagung', 'nasi merah', 'nasi putih']",chicken blackpepper ayam jagung nasi merah nasi putih ayam lada hitam sayur tepanyaki telur orak arik,"jagung, nasi merah, nasi putih"
108,cah buncis sapi cincang,sapi,395,kentang nasi merah nasi putih,tumis buncis sapi cincang lauk tahu,"['kentang', 'nasi merah', 'nasi putih']",cah buncis sapi cincang sapi kentang nasi merah nasi putih tumis buncis sapi cincang lauk tahu,"kentang, nasi merah, nasi putih"
109,sapi cabe garam,sapi,400,kentang nasi merah nasi putih,daging sapi tumis cabe garam pedas gurih tumis sayur,"['kentang', 'nasi merah', 'nasi putih']",sapi cabe garam sapi kentang nasi merah nasi putih daging sapi tumis cabe garam pedas gurih tumis sayur,"kentang, nasi merah, nasi putih"
110,mie ayam sehat spesial,ayam,395,,mie ayam sehat sayuran kukus lauk tahu,[],mie ayam sehat spesial ayam mie ayam sehat sayuran kukus lauk tahu,N/A
111,chicken rolade,ayam,395,jagung nasi merah nasi putih,rolade ayam kukus disajikan dengan sop bening,"['jagung', 'nasi merah', 'nasi putih']",chicken rolade ayam jagung nasi merah nasi putih rolade ayam kukus disajikan dengan sop bening,"jagung, nasi merah, nasi putih"
112,dori sambal matah,ikan,390,kentang ubi nasi merah nasi putih,ikan dori sambal matah segar sayuran kukus,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",dori sambal matah ikan kentang ubi nasi merah nasi putih ikan dori sambal matah segar sayuran kukus,"kentang, ubi, nasi merah, nasi putih"
113,gulai ikan,ikan,400,kentang nasi merah nasi putih,gulai ikan tanpa santan sayur kukus lauk tempe,"['kentang', 'nasi merah', 'nasi putih']",gulai ikan ikan kentang nasi merah nasi putih gulai ikan tanpa santan sayur kukus lauk tempe,"kentang, nasi merah, nasi putih"
114,chicken ball crispy,ayam,395,jagung ubi nasi merah nasi putih,bola ayam renyah disajikan dengan salad sayur,"['jagung', 'ubi', 'nasi merah', 'nasi putih']",chicken ball crispy ayam jagung ubi nasi merah nasi putih bola ayam renyah disajikan dengan salad sayur,"jagung, ubi, nasi merah, nasi putih"
115,soto bandung,sapi,395,kentang nasi merah nasi putih,soto daging kuah bening lobak lauk telur rebus,"['kentang', 'nasi merah', 'nasi putih']",soto bandung sapi kentang nasi merah nasi putih soto daging kuah bening lobak lauk telur rebus,"kentang, nasi merah, nasi putih"
116,sempol ayam grill,ayam,390,jagung ubi nasi merah nasi putih,sempol ayam panggang rendah minyak sayur kukus,"['jagung', 'ubi', 'nasi merah', 'nasi putih']",sempol ayam grill ayam jagung ubi nasi merah nasi putih sempol ayam panggang rendah minyak sayur kukus,"jagung, ubi, nasi merah, nasi putih"
117,sapi cabe garam,sapi,400,kentang nasi merah nasi putih,daging sapi tumis cabe garam lauk tahu tumis sayur,"['kentang', 'nasi merah', 'nasi putih']",sapi cabe garam sapi kentang nasi merah nasi putih daging sapi tumis cabe garam lauk tahu tumis sayur,"kentang, nasi merah, nasi putih"
118,tumis ayam brokoli,ayam,390,jagung nasi merah nasi putih,tumis ayam dan brokoli menu sehat klasik,"['jagung', 'nasi merah', 'nasi putih']",tumis ayam brokoli ayam jagung nasi merah nasi putih tumis ayam dan brokoli menu sehat klasik,"jagung, nasi merah, nasi putih"
119,soto ayam kuning,ayam,400,kentang nasi merah nasi putih,soto ayam bumbu kuning tanpa santan lauk telur,"['kentang', 'nasi merah', 'nasi putih']",soto ayam kuning ayam kentang nasi merah nasi putih soto ayam bumbu kuning tanpa santan lauk telur,"kentang, nasi merah, nasi putih"
120,dori oat saus wijen,ikan,400,jagung ubi nasi merah nasi putih,ikan dori balut oat saus wijen gurih sayur kukus,"['jagung', 'ubi', 'nasi merah', 'nasi putih']",dori oat saus wijen ikan jagung ubi nasi merah nasi putih ikan dori balut oat saus wijen gurih sayur kukus,"jagung, ubi, nasi merah, nasi putih"
121,ikan cabe ijo,ikan,400,jagung nasi merah nasi putih,ikan bumbu cabe ijo tumis sayur lauk tahu,"['jagung', 'nasi merah', 'nasi putih']",ikan cabe ijo ikan jagung nasi merah nasi putih ikan bumbu cabe ijo tumis sayur lauk tahu,"jagung, nasi merah, nasi putih"
122,ayam bakar padang,ayam,400,kentang ubi nasi merah nasi putih,ayam bakar bumbu padang tanpa santan lauk tempe,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",ayam bakar padang ayam kentang ubi nasi merah nasi putih ayam bakar bumbu padang tanpa santan lauk tempe,"kentang, ubi, nasi merah, nasi putih"
123,rawon surabaya,sapi,400,kentang nasi merah nasi putih,daging rawon kuah rempah sayur kukus lauk telur,"['kentang', 'nasi merah', 'nasi putih']",rawon surabaya sapi kentang nasi merah nasi putih daging rawon kuah rempah sayur kukus lauk telur,"kentang, nasi merah, nasi putih"
124,chicken ball crispy,ayam,395,jagung ubi nasi merah nasi putih,bola ayam renyah disajikan dengan salad segar,"['jagung', 'ubi', 'nasi merah', 'nasi putih']",chicken ball crispy ayam jagung ubi nasi merah nasi putih bola ayam renyah disajikan dengan salad segar,"jagung, ubi, nasi merah, nasi putih"
125,chicken teriyaki grill,ayam,400,kentang nasi merah nasi putih,ayam panggang teriyaki tumis sayuran,"['kentang', 'nasi merah', 'nasi putih']",chicken teriyaki grill ayam kentang nasi merah nasi putih ayam panggang teriyaki tumis sayuran,"kentang, nasi merah, nasi putih"
126,pangsit ayam kuah,ayam,395,kentang nasi merah nasi putih,pangsit ayam rebus kuah kaldu bakso ayam,"['kentang', 'nasi merah', 'nasi putih']",pangsit ayam kuah ayam kentang nasi merah nasi putih pangsit ayam rebus kuah kaldu bakso ayam,"kentang, nasi merah, nasi putih"
127,soto betawi tanpa santan,sapi,400,kentang nasi merah nasi putih,soto betawi kuah bening tanpa santan lauk telur,"['kentang', 'nasi merah', 'nasi putih']",soto betawi tanpa santan sapi kentang nasi merah nasi putih soto betawi kuah bening tanpa santan lauk telur,"kentang, nasi merah, nasi putih"
128,ayam serundeng sambal korek,ayam,400,jagung nasi merah nasi putih,ayam serundeng sambal korek pedas lauk tempe,"['jagung', 'nasi merah', 'nasi putih']",ayam serundeng sambal korek ayam jagung nasi merah nasi putih ayam serundeng sambal korek pedas lauk tempe,"jagung, nasi merah, nasi putih"
129,dori chips saus asam manis,ikan,400,kentang nasi merah nasi putih,keping dori renyah saus asam manis tumis sayur,"['kentang', 'nasi merah', 'nasi putih']",dori chips saus asam manis ikan kentang nasi merah nasi putih keping dori renyah saus asam manis tumis sayur,"kentang, nasi merah, nasi putih"
130,chicken blackpepper egg tortila,ayam,395,jagung ubi nasi merah nasi putih,ayam lada hitam disajikan dengan tortila telur,"['jagung', 'ubi', 'nasi merah', 'nasi putih']",chicken blackpepper egg tortila ayam jagung ubi nasi merah nasi putih ayam lada hitam disajikan dengan tortila telur,"jagung, ubi, nasi merah, nasi putih"
131,beef bulgogi,sapi,400,jagung nasi merah nasi putih,daging sapi bulgogi sayur tepanyaki lauk tahu,"['jagung', 'nasi merah', 'nasi putih']",beef bulgogi sapi jagung nasi merah nasi putih daging sapi bulgogi sayur tepanyaki lauk tahu,"jagung, nasi merah, nasi putih"
132,chicken karage saus korea,ayam,395,kentang ubi nasi merah nasi putih,karage ayam panggang saus korea pedas manis,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",chicken karage saus korea ayam kentang ubi nasi merah nasi putih karage ayam panggang saus korea pedas manis,"kentang, ubi, nasi merah, nasi putih"
133,chicken sandwich,ayam,395,jagung nasi merah nasi putih,sandwich ayam tanpa roti salad lauk telur,"['jagung', 'nasi merah', 'nasi putih']",chicken sandwich ayam jagung nasi merah nasi putih sandwich ayam tanpa roti salad lauk telur,"jagung, nasi merah, nasi putih"
134,sei ayam with brown rice spesial,ayam,427,kentang nasi merah nasi putih,menu sei ayam with brown rice spesial yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",sei ayam with brown rice spesial ayam kentang nasi merah nasi putih menu sei ayam with brown rice spesial yang sehat dan lezat,"kentang, nasi merah, nasi putih"
135,chicken potatoes bowl,ayam,380,kentang ubi nasi merah nasi putih,menu chicken potatoes bowl yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",chicken potatoes bowl ayam kentang ubi nasi merah nasi putih menu chicken potatoes bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
136,sei sapi box,sapi,355,jagung nasi merah kentang,menu sei sapi box yang sehat dan lezat,"['jagung', 'nasi merah', 'kentang']",sei sapi box sapi jagung nasi merah kentang menu sei sapi box yang sehat dan lezat,"jagung, nasi merah, kentang"
137,grilled chicken with lemonilo healthy,ayam,449,jagung nasi merah kentang,menu grilled chicken with lemonilo healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'kentang']",grilled chicken with lemonilo healthy ayam jagung nasi merah kentang menu grilled chicken with lemonilo healthy yang sehat dan lezat,"jagung, nasi merah, kentang"
138,with brown rice with potate wedges healthy,lainnya,419,jagung nasi merah kentang,menu with brown rice with potate wedges healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'kentang']",with brown rice with potate wedges healthy lainnya jagung nasi merah kentang menu with brown rice with potate wedges healthy yang sehat dan lezat,"jagung, nasi merah, kentang"
139,grilled chicken 400 keal premium,ayam,356,kentang nasi merah nasi putih,menu grilled chicken 400 keal premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",grilled chicken 400 keal premium ayam kentang nasi merah nasi putih menu grilled chicken 400 keal premium yang sehat dan lezat,"kentang, nasi merah, nasi putih"
140,with brown rice box,lainnya,369,jagung nasi merah kentang,menu with brown rice box yang sehat dan lezat,"['jagung', 'nasi merah', 'kentang']",with brown rice box lainnya jagung nasi merah kentang menu with brown rice box yang sehat dan lezat,"jagung, nasi merah, kentang"
141,japanese beef gyudon with brown rice bowl,sapi,355,jagung nasi merah nasi putih,menu japanese beef gyudon with brown rice bowl yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",japanese beef gyudon with brown rice bowl sapi jagung nasi merah nasi putih menu japanese beef gyudon with brown rice bowl yang sehat dan lezat,"jagung, nasi merah, nasi putih"
142,ayam bakar bowl,ayam,430,kentang ubi nasi merah nasi putih,menu ayam bakar bowl yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",ayam bakar bowl ayam kentang ubi nasi merah nasi putih menu ayam bakar bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
143,sei ayam with lemonilo premium,ayam,418,jagung nasi merah kentang,menu sei ayam with lemonilo premium yang sehat dan lezat,"['jagung', 'nasi merah', 'kentang']",sei ayam with lemonilo premium ayam jagung nasi merah kentang menu sei ayam with lemonilo premium yang sehat dan lezat,"jagung, nasi merah, kentang"
144,soto ayam spesial spesial,ayam,360,kentang ubi nasi merah nasi putih,menu soto ayam spesial spesial yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",soto ayam spesial spesial ayam kentang ubi nasi merah nasi putih menu soto ayam spesial spesial yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
145,rawon surabaya sapi ayam premium,lainnya,417,jagung nasi merah nasi putih,menu rawon surabaya sapi ayam premium yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",rawon surabaya sapi ayam premium lainnya jagung nasi merah nasi putih menu rawon surabaya sapi ayam premium yang sehat dan lezat,"jagung, nasi merah, nasi putih"
146,dori oat saus wijen premium,ikan,423,kentang ubi nasi merah nasi putih,menu dori oat saus wijen premium yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",dori oat saus wijen premium ikan kentang ubi nasi merah nasi putih menu dori oat saus wijen premium yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
147,konsumsi dada ayam healthy,ayam,436,jagung nasi merah kentang,menu konsumsi dada ayam healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'kentang']",konsumsi dada ayam healthy ayam jagung nasi merah kentang menu konsumsi dada ayam healthy yang sehat dan lezat,"jagung, nasi merah, kentang"
148,sapi cabe garam spesial,sapi,433,kentang nasi merah nasi putih,menu sapi cabe garam spesial yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",sapi cabe garam spesial sapi kentang nasi merah nasi putih menu sapi cabe garam spesial yang sehat dan lezat,"kentang, nasi merah, nasi putih"
149,brown rice ce apple tea saldo gopay diet,lainnya,429,kentang ubi nasi merah nasi putih,menu brown rice ce apple tea saldo gopay diet yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",brown rice ce apple tea saldo gopay diet lainnya kentang ubi nasi merah nasi putih menu brown rice ce apple tea saldo gopay diet yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
150,chicken tomyum box,ayam,370,jagung nasi merah nasi putih,menu chicken tomyum box yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",chicken tomyum box ayam jagung nasi merah nasi putih menu chicken tomyum box yang sehat dan lezat,"jagung, nasi merah, nasi putih"
151,ayam saus mentega diet,ayam,434,kentang nasi merah nasi putih,menu ayam saus mentega diet yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",ayam saus mentega diet ayam kentang nasi merah nasi putih menu ayam saus mentega diet yang sehat dan lezat,"kentang, nasi merah, nasi putih"
152,dori chips saus asam manis lengkap,ikan,398,jagung nasi merah nasi putih,menu dori chips saus asam manis lengkap yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",dori chips saus asam manis lengkap ikan jagung nasi merah nasi putih menu dori chips saus asam manis lengkap yang sehat dan lezat,"jagung, nasi merah, nasi putih"
153,dori salted egg bowl,ikan,447,kentang ubi nasi merah nasi putih,menu dori salted egg bowl yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",dori salted egg bowl ikan kentang ubi nasi merah nasi putih menu dori salted egg bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
154,recharge with se l sapi lengkap,sapi,427,kentang ubi nasi merah nasi putih,menu recharge with se l sapi lengkap yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",recharge with se l sapi lengkap sapi kentang ubi nasi merah nasi putih menu recharge with se l sapi lengkap yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
155,dori katsu saus asam manis premium,ikan,439,jagung nasi merah nasi putih,menu dori katsu saus asam manis premium yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",dori katsu saus asam manis premium ikan jagung nasi merah nasi putih menu dori katsu saus asam manis premium yang sehat dan lezat,"jagung, nasi merah, nasi putih"
156,ayam maranggi bowl,ayam,405,kentang ubi nasi merah nasi putih,menu ayam maranggi bowl yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",ayam maranggi bowl ayam kentang ubi nasi merah nasi putih menu ayam maranggi bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
157,daging ayam bowl,ayam,395,kentang ubi nasi merah nasi putih,menu daging ayam bowl yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",daging ayam bowl ayam kentang ubi nasi merah nasi putih menu daging ayam bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
158,sei sapi with potatoes diet,sapi,419,jagung nasi merah nasi putih,menu sei sapi with potatoes diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",sei sapi with potatoes diet sapi jagung nasi merah nasi putih menu sei sapi with potatoes diet yang sehat dan lezat,"jagung, nasi merah, nasi putih"
159,soto ayam kuning box,ayam,418,jagung nasi merah nasi putih,menu soto ayam kuning box yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",soto ayam kuning box ayam jagung nasi merah nasi putih menu soto ayam kuning box yang sehat dan lezat,"jagung, nasi merah, nasi putih"
160,soto bandung lengkap,sapi,355,jagung nasi merah nasi putih,menu soto bandung lengkap yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",soto bandung lengkap sapi jagung nasi merah nasi putih menu soto bandung lengkap yang sehat dan lezat,"jagung, nasi merah, nasi putih"
161,pasta aglio eolio dori stick diet,ikan,395,kentang ubi nasi merah nasi putih,menu pasta aglio eolio dori stick diet yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",pasta aglio eolio dori stick diet ikan kentang ubi nasi merah nasi putih menu pasta aglio eolio dori stick diet yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
162,opor ayam tanpa santan lengkap,ayam,360,kentang nasi merah nasi putih,menu opor ayam tanpa santan lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",opor ayam tanpa santan lengkap ayam kentang nasi merah nasi putih menu opor ayam tanpa santan lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih"
163,chicken blackpepper bowl,ayam,379,kentang ubi nasi merah nasi putih,menu chicken blackpepper bowl yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",chicken blackpepper bowl ayam kentang ubi nasi merah nasi putih menu chicken blackpepper bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
164,sapi cabe garam box,sapi,373,kentang ubi nasi merah nasi putih,menu sapi cabe garam box yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",sapi cabe garam box sapi kentang ubi nasi merah nasi putih menu sapi cabe garam box yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
165,chicken steak diet,ayam,360,kentang ubi nasi merah nasi putih,menu chicken steak diet yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",chicken steak diet ayam kentang ubi nasi merah nasi putih menu chicken steak diet yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
166,pangsit ayam kuah premium,ayam,362,kentang nasi merah nasi putih,menu pangsit ayam kuah premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",pangsit ayam kuah premium ayam kentang nasi merah nasi putih menu pangsit ayam kuah premium yang sehat dan lezat,"kentang, nasi merah, nasi putih"
167,fish stick saus korea spesial,ikan,392,kentang ubi nasi merah nasi putih,menu fish stick saus korea spesial yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",fish stick saus korea spesial ikan kentang ubi nasi merah nasi putih menu fish stick saus korea spesial yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
168,ayam bakar bacem lengkap,ayam,398,kentang nasi merah nasi putih,menu ayam bakar bacem lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",ayam bakar bacem lengkap ayam kentang nasi merah nasi putih menu ayam bakar bacem lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih"
169,chicken teriyaki grill lengkap,ayam,379,jagung nasi merah kentang,menu chicken teriyaki grill lengkap yang sehat dan lezat,"['jagung', 'nasi merah', 'kentang']",chicken teriyaki grill lengkap ayam jagung nasi merah kentang menu chicken teriyaki grill lengkap yang sehat dan lezat,"jagung, nasi merah, kentang"
171,ayam sambel geprek bowl,ayam,371,kentang ubi nasi merah nasi putih,menu ayam sambel geprek bowl yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",ayam sambel geprek bowl ayam kentang ubi nasi merah nasi putih menu ayam sambel geprek bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
172,dori stick premium,ikan,369,jagung nasi merah nasi putih,menu dori stick premium yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",dori stick premium ikan jagung nasi merah nasi putih menu dori stick premium yang sehat dan lezat,"jagung, nasi merah, nasi putih"
174,soto betawi tanpa santan premium,sapi,359,kentang ubi nasi merah nasi putih,menu soto betawi tanpa santan premium yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",soto betawi tanpa santan premium sapi kentang ubi nasi merah nasi putih menu soto betawi tanpa santan premium yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
175,chicken blackpepper egg tortila lengkap,ayam,390,kentang ubi nasi merah nasi putih,menu chicken blackpepper egg tortila lengkap yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",chicken blackpepper egg tortila lengkap ayam kentang ubi nasi merah nasi putih menu chicken blackpepper egg tortila lengkap yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
176,dori sambal matah healthy,ikan,355,jagung nasi merah nasi putih,menu dori sambal matah healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",dori sambal matah healthy ikan jagung nasi merah nasi putih menu dori sambal matah healthy yang sehat dan lezat,"jagung, nasi merah, nasi putih"
177,ayam serundeng sambal korek lengkap,ayam,418,kentang ubi nasi merah nasi putih,menu ayam serundeng sambal korek lengkap yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",ayam serundeng sambal korek lengkap ayam kentang ubi nasi merah nasi putih menu ayam serundeng sambal korek lengkap yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
178,dori katsu balado spesial,ikan,423,jagung nasi merah nasi putih,menu dori katsu balado spesial yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",dori katsu balado spesial ikan jagung nasi merah nasi putih menu dori katsu balado spesial yang sehat dan lezat,"jagung, nasi merah, nasi putih"
179,rawon surabaya lengkap,sapi,423,kentang nasi merah nasi putih,menu rawon surabaya lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",rawon surabaya lengkap sapi kentang nasi merah nasi putih menu rawon surabaya lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih"
180,chicken blackpepper healthy,ayam,391,jagung nasi merah nasi putih,menu chicken blackpepper healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",chicken blackpepper healthy ayam jagung nasi merah nasi putih menu chicken blackpepper healthy yang sehat dan lezat,"jagung, nasi merah, nasi putih"
181,chicken ball crispy diet,ayam,449,jagung nasi merah kentang,menu chicken ball crispy diet yang sehat dan lezat,"['jagung', 'nasi merah', 'kentang']",chicken ball crispy diet ayam jagung nasi merah kentang menu chicken ball crispy diet yang sehat dan lezat,"jagung, nasi merah, kentang"
182,sei ayam with potatoes premium,ayam,379,kentang nasi merah nasi putih,menu sei ayam with potatoes premium yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",sei ayam with potatoes premium ayam kentang nasi merah nasi putih menu sei ayam with potatoes premium yang sehat dan lezat,"kentang, nasi merah, nasi putih"
183,pangsit ayam yamin yahun healthy,ayam,430,kentang nasi merah nasi putih,menu pangsit ayam yamin yahun healthy yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",pangsit ayam yamin yahun healthy ayam kentang nasi merah nasi putih menu pangsit ayam yamin yahun healthy yang sehat dan lezat,"kentang, nasi merah, nasi putih"
184,sei sapi with lemonilo premium,sapi,395,kentang ubi nasi merah nasi putih,menu sei sapi with lemonilo premium yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",sei sapi with lemonilo premium sapi kentang ubi nasi merah nasi putih menu sei sapi with lemonilo premium yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
185,grilled chicken sei sapi ayam penyet diet,ayam,359,kentang ubi nasi merah nasi putih,menu grilled chicken sei sapi ayam penyet diet yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",grilled chicken sei sapi ayam penyet diet ayam kentang ubi nasi merah nasi putih menu grilled chicken sei sapi ayam penyet diet yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
186,chicken bbq grill diet,ayam,407,jagung nasi merah nasi putih,menu chicken bbq grill diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",chicken bbq grill diet ayam jagung nasi merah nasi putih menu chicken bbq grill diet yang sehat dan lezat,"jagung, nasi merah, nasi putih"
187,sei sapi diet,sapi,355,jagung nasi merah nasi putih,menu sei sapi diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",sei sapi diet sapi jagung nasi merah nasi putih menu sei sapi diet yang sehat dan lezat,"jagung, nasi merah, nasi putih"
188,sei ayam with brown rice sei box,sapi,436,jagung nasi merah nasi putih,menu sei ayam with brown rice sei box yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",sei ayam with brown rice sei box sapi jagung nasi merah nasi putih menu sei ayam with brown rice sei box yang sehat dan lezat,"jagung, nasi merah, nasi putih"
189,dietgo fried chicken bowl,ayam,351,jagung nasi merah nasi putih,menu dietgo fried chicken bowl yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",dietgo fried chicken bowl ayam jagung nasi merah nasi putih menu dietgo fried chicken bowl yang sehat dan lezat,"jagung, nasi merah, nasi putih"
190,beef yakiniku spesial,sapi,413,jagung nasi merah kentang,menu beef yakiniku spesial yang sehat dan lezat,"['jagung', 'nasi merah', 'kentang']",beef yakiniku spesial sapi jagung nasi merah kentang menu beef yakiniku spesial yang sehat dan lezat,"jagung, nasi merah, kentang"
191,chicken sandwich box,ayam,418,kentang ubi nasi merah nasi putih,menu chicken sandwich box yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",chicken sandwich box ayam kentang ubi nasi merah nasi putih menu chicken sandwich box yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
192,dori popcorn premium,ikan,436,kentang ubi nasi merah nasi putih,menu dori popcorn premium yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",dori popcorn premium ikan kentang ubi nasi merah nasi putih menu dori popcorn premium yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
193,dori sambal matah diet,ikan,395,jagung nasi merah nasi putih,menu dori sambal matah diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",dori sambal matah diet ikan jagung nasi merah nasi putih menu dori sambal matah diet yang sehat dan lezat,"jagung, nasi merah, nasi putih"
